A ###                   0000 0 00
B 今から向かう          0001 1 01
C ###                   0010 2 02
D ###                   0011 3 03
E ###                   0100 4 04
F ###                   0101 5 05
G メールで連絡せよ      0110 6 06
H ###                   0111 7 07
I ###                   1000 8 08
J ###                   1001 9 09
K ###                   1010 A 10
L ###                   1011 B 11
M ###                   1100 C 12
N 電話で連絡せよ        1101 D 13
O ###                   1110 E 14
P ###                   1111 F 15
